GALATA MESLEK? VE TEKN?K ANADOLU L?SES? 2025-2026 E??T?M Ö?RET?M YILI;;;;;;;;;;;;;;;
24.03.2026      SALI;14.30-15.10;K?MYA;10/C  B?L;;;;;;;;;;;;
24.03.2026      SALI;14.30-15.10;K?MYA;10/D MAK;;;;;;;;;;;;
24.03.2026      SALI;15.40-16.20;SEÇMEL? MET?N TAHL?LLER?;10/A   ELK S ;;;;;;;;;;;;
24.03.2026      SALI;15.40-16.20;SEÇMEL? MET?N TAHL?LLER?;10/A  ELK;;;;;;;;;;;;
24.03.2026      SALI;15.40-16.20;SEÇMEL? MET?N TAHL?LLER?;10/A   B?L;;;;;;;;;;;;
24.03.2026      SALI;15.40-16.20;SEÇMEL? MET?N TAHL?LLER?;10/B   B?L;;;;;;;;;;;;
24.03.2026      SALI;15.40-16.20;SEÇMEL? MET?N TAHL?LLER?;10/C  B?L;;;;;;;;;;;;
24.03.2026      SALI;15.40-16.20;SEÇMEL? MET?N TAHL?LLER?;10/D MAK;;;;;;;;;;;;
25.03.2026 ÇAR?AMBA;14.30-15.10;TÜRK SOSYAL HAYATINDA A?LE;10/A   ELK S ;;;;;;;;;;;;
25.03.2026 ÇAR?AMBA;14.30-15.10;TÜRK SOSYAL HAYATINDA A?LE;10/A  ELK;;;;;;;;;;;;
25.03.2026 ÇAR?AMBA;14.30-15.10;TÜRK SOSYAL HAYATINDA A?LE;10/A   B?L;;;;;;;;;;;;
25.03.2026 ÇAR?AMBA;14.30-15.10;TÜRK SOSYAL HAYATINDA A?LE;10/B   B?L;;;;;;;;;;;;
25.03.2026 ÇAR?AMBA;14.30-15.10;TÜRK SOSYAL HAYATINDA A?LE;10/C  B?L;;;;;;;;;;;;
25.03.2026 ÇAR?AMBA;14.30-15.10;TÜRK SOSYAL HAYATINDA A?LE;10/D MAK;;;;;;;;;;;;
25.03.2026 ÇAR?AMBA;15.40-16.20;F?Z?K;10/A   ELK S ;;;;;;;;;;;;
25.03.2026 ÇAR?AMBA;15.40-16.20;F?Z?K;10/A  ELK;;;;;;;;;;;;
25.03.2026 ÇAR?AMBA;15.40-16.20;F?Z?K;10/A   B?L;;;;;;;;;;;;
25.03.2026 ÇAR?AMBA;15.40-16.20;F?Z?K;10/B  B?L;;;;;;;;;;;;
25.03.2026 ÇAR?AMBA;15.40-16.20;F?Z?K;10/C  B?L;;;;;;;;;;;;
25.03.2026 ÇAR?AMBA;15.40-16.20;F?Z?K;10/D MAK;;;;;;;;;;;;
26.03.2026 PER?EMBE;14.30-15.10;FELSEFE;10/A   ELK S ;;;;;;;;;;;;
26.03.2026 PER?EMBE;14.30-15.10;FELSEFE;10/A  ELK;;;;;;;;;;;;
26.03.2026 PER?EMBE;14.30-15.10;FELSEFE;10/A   B?L;;;;;;;;;;;;
26.03.2026 PER?EMBE;14.30-15.10;FELSEFE;10/B  B?L;;;;;;;;;;;;
26.03.2026 PER?EMBE;14.30-15.10;FELSEFE;10/C  B?L;;;;;;;;;;;;
26.03.2026 PER?EMBE;14.30-15.10;FELSEFE;10/D MAK;;;;;;;;;;;;
26.03.2026 PER?EMBE;15.40-16.20;?NG?L?ZCE;10/A   ELK S ;;;;;;;;;;;;
26.03.2026 PER?EMBE;15.40-16.20;?NG?L?ZCE;10/A  ELK;;;;;;;;;;;;
26.03.2026 PER?EMBE;15.40-16.20;?NG?L?ZCE;10/A   B?L;;;;;;;;;;;;
26.03.2026 PER?EMBE;15.40-16.20;?NG?L?ZCE;10/B  B?L;;;;;;;;;;;;
26.03.2026 PER?EMBE;15.40-16.20;?NG?L?ZCE;10/C  B?L;;;;;;;;;;;;
26.03.2026 PER?EMBE;15.40-16.20;?NG?L?ZCE;10/D MAK;;;;;;;;;;;;
27.03.2026 CUMA;14.30-15.10;D?N KÜLTÜRÜ VE AHLAK B?LG?S?;10/A   ELK S ;;;;;;;;;;;;
27.03.2026 CUMA;14.30-15.10;D?N KÜLTÜRÜ VE AHLAK B?LG?S?;10/A  ELK;;;;;;;;;;;;
27.03.2026 CUMA;14.30-15.10;D?N KÜLTÜRÜ VE AHLAK B?LG?S?;10/A   B?L;;;;;;;;;;;;
27.03.2026 CUMA;14.30-15.10;D?N KÜLTÜRÜ VE AHLAK B?LG?S?;10/B  B?L;;;;;;;;;;;;
27.03.2026 CUMA;14.30-15.10;D?N KÜLTÜRÜ VE AHLAK B?LG?S?;10/C  B?L;;;;;;;;;;;;
27.03.2026 CUMA;14.30-15.10;D?N KÜLTÜRÜ VE AHLAK B?LG?S?;10/D MAK;;;;;;;;;;;;
27.03.2026 CUMA;15.40-16.20;TAR?H;10/A   ELK S ;;;;;;;;;;;;
27.03.2026 CUMA;15.40-16.20;TAR?H;10/A  ELK;;;;;;;;;;;;
27.03.2026 CUMA;15.40-16.20;TAR?H;10/A   B?L;;;;;;;;;;;;
27.03.2026 CUMA;15.40-16.20;TAR?H;10/B  B?L;;;;;;;;;;;;
27.03.2026 CUMA;15.40-16.20;TAR?H;10/C  B?L;;;;;;;;;;;;
27.03.2026 CUMA;15.40-16.20;TAR?H;10/D MAK;;;;;;;;;;;;
31.03.2026 SALI;14.30-15.10;SEÇMEL? ADABI MUA?ERET;10/A   ELK S ;;;;;;;;;;;;
31.03.2026 SALI;14.30-15.10;SEÇMEL? ADABI MUA?ERET;10/A  ELK;;;;;;;;;;;;
31.03.2026 SALI;14.30-15.10;SEÇMEL? ADABI MUA?ERET;10/A   B?L;;;;;;;;;;;;
31.03.2026 SALI;14.30-15.10;SEÇMEL? ADABI MUA?ERET;10/B  B?L;;;;;;;;;;;;
31.03.2026 SALI;14.30-15.10;SEÇMEL? ADABI MUA?ERET;10/C  B?L;;;;;;;;;;;;
31.03.2026 SALI;14.30-15.10;SEÇMEL? ADABI MUA?ERET;10/D MAK;;;;;;;;;;;;
31.03.2026 SALI;15.40-16.20;CO?RAFYA;10/A   ELK S ;;;;;;;;;;;;
31.03.2026 SALI;15.40-16.20;CO?RAFYA;10/A  ELK;;;;;;;;;;;;
31.03.2026 SALI;15.40-16.20;CO?RAFYA;10/A  B?L;;;;;;;;;;;;
31.03.2026 SALI;15.40-16.20;CO?RAFYA;10/B  B?L;;;;;;;;;;;;
31.03.2026 SALI;15.40-16.20;CO?RAFYA;10/C  B?L;;;;;;;;;;;;
31.03.2026 SALI;15.40-16.20;CO?RAFYA;10/D MAK;;;;;;;;;;;;
;;;;;;;;;;;;;;;
NOT: ÜLKE GENEL? ORTAK SINAVLAR: 9 N?SAN 2026 MATEMAT?K 10. SINIF, 10 N?SAN 2026 TÜRK D?L? VE EDEB?YATI 10. SINIF;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
